"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Muhammadiyah 60 x 90","Kedai HW","Rp 20,000.00","Rp 20,000.00","9,999.00 Pieces","Tunggal","","","","0223"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Muhammadiyah atau Ortom Custom","Kedai HW","Rp 100,000.00","Rp 100,000.00","998.00 Pieces","Tunggal","","","","0297"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Muhammadiyah Sablon 90 x 135 Seri B","Kedai HW","Rp 25,000.00","Rp 25,000.00","980.00 Pieces","Tunggal","","","","0062"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Nasiatul Aisyah","Kedai HW","Rp 45,000.00","Rp 56,250.00","997.00 Pieces","Tunggal","","","","0064"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Ortom Kecil","Kedai HW","Rp 20,000.00","Rp 25,000.00","996.00 Pieces","Tunggal","","","","01099"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pandu Dunia","Kedai HW","Rp 30,000.00","Rp 40,000.00","98.00 Pieces","Tunggal","","","","17482"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pasukan Pengenal DTF","Kedai HW","Rp 50,000.00","Rp 50,000.00","984.00 Pieces","Tunggal","","","","0048"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pasukan Penghela","Kedai HW","Rp 50,000.00","Rp 50,000.00","85.00 Pieces","Tunggal","","","","0204"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pemuda Muhammadiyah Seri A 90 x 135 cm","Kedai HW","Rp 40,000.00","Rp 40,000.00","998.00 Pieces","Tunggal","","","","0066"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pemuda Muhammadiyah Seri B 60 x 90 Cm","Kedai HW","Rp 10,000.00","Rp 10,000.00","9,998.00 Pieces","Tunggal","","","","0068"
